boundary,states,,,,,,,,,,,,
feature,State of Nevada,,,,,,,,,,,,
center,"-117.0227, 38.502",,,,,,,,,,,,
scenario,High (RCP 8.5),,,,,,,,,,,,
climate indicator,Minimum Temperature,,,,,,,,,,,,
units,°F,,,,,,,,,,,,
,,,,,CanESM2 (Average),,,,CNRM-CM5 (Cool/Wet),,,HadGEM2-ES (Warm/Dry),MIROC5 (Complement)
year,ModeledRCP8.5RangeMin,ModeledRCP8.5RangeMax,Observed,ACCESS1-0,CanESM2,CCSM4,CESM1-BGC,CMCC-CMS,CNRM-CM5,GFDL-CM3,HadGEM2-CC,HadGEM2-ES,MIROC5 
1950,27.8477726,35.12577438,33.76976395,33.75704193,32.4502182,34.30350494,33.23942184,33.71979904,32.97234344,31.37388992,33.01969528,31.947155,33.12966919
1951,29.41442299,35.54611206,32.80987549,32.20720291,32.92741013,32.23851395,31.32840538,31.00117874,32.98937225,33.44618607,33.92095947,32.5299263,34.78849411
1952,30.11183548,35.63938522,32.14605713,31.40805626,32.33140183,31.43013954,31.67656326,31.53236771,35.37154007,34.05455399,33.34220123,32.97695923,34.20248413
1953,30.42077065,36.00913239,32.94754791,33.94672394,32.0703125,31.209589,32.23774338,32.21363068,33.79159546,33.03524017,33.64844513,34.58771896,33.56555176
1954,30.13325882,35.2895813,32.92115021,32.60122681,31.02078819,32.36820602,31.20849037,32.4336319,30.74283409,34.35316086,33.77324677,34.18051147,33.20684814
1955,30.25471115,36.13272858,31.17072678,31.12927818,32.25559616,32.51124954,33.13576508,33.22931671,31.34257889,33.93826294,32.57722092,32.48235321,32.01532745
1956,28.80978966,35.40669632,31.88335991,32.36441803,33.84817505,31.08176231,31.77857018,32.54332733,31.22694778,33.09429169,31.66469765,32.14573288,33.38240814
1957,29.61849403,35.33495331,32.48685455,33.11478424,34.59233475,29.67325974,31.72671509,31.24430466,31.99214554,33.10560989,31.78516197,32.52157593,33.49337006
1958,28.73167801,35.57357788,33.86380768,33.40394211,30.81578445,32.5978775,32.22824097,31.22172928,31.45271683,33.87943268,32.62654877,31.97896194,34.12535858
1959,30.2110405,34.82315826,32.65423203,33.23239136,32.55233765,30.90625572,31.39075279,34.36590576,32.29767609,33.87075043,31.54143143,32.76382446,33.98451614
1960,28.97139931,35.07897186,32.87031174,31.82498741,32.38853073,32.25070953,33.34659576,33.24612427,32.57980347,33.30110931,32.08003616,33.69398117,34.54784012
1961,29.40469933,36.02319336,32.79357147,34.61469269,33.05853271,32.63671112,32.88862991,32.72932816,31.96088791,33.96083832,32.7710762,32.69735718,32.65714645
1962,29.95302773,34.67588425,31.94546509,32.6134758,33.31918335,30.92136192,32.51943207,32.68911743,31.38295364,33.47793579,33.26502228,33.09423828,32.96734619
1963,28.97914505,36.13536453,32.95482636,34.59552002,32.29646683,32.37095261,33.20278168,31.6621151,32.39006805,29.89919472,31.03012657,29.8170166,32.33255768
1964,28.48931885,35.10176849,31.24666023,32.63001251,32.95613861,34.76998138,33.81175613,33.45453644,32.00192261,33.00173187,33.66503143,31.75544357,33.69672775
1965,29.50961876,35.60615158,32.40806961,31.55505371,31.35900307,29.84261513,33.82526779,33.47079468,33.32275391,31.96423912,32.93751907,31.33763504,35.53237915
1966,29.45567703,35.40251923,32.84804535,30.67894936,32.18566895,31.05435181,30.06371498,35.37598801,33.40938187,33.76044846,33.24095917,32.14661407,31.8433342
1967,28.45773315,35.33006668,33.59680176,32.39820099,33.44223022,32.45626068,31.09439659,32.16243362,30.58984947,30.04767418,32.92653275,32.3030014,33.090065
1968,29.17733765,34.99992752,33.27494812,30.19401169,29.57515335,31.75764084,32.52827835,33.66201019,31.83372116,34.51279449,33.09703827,33.2939682,31.66667557
1969,30.10980225,37.09644699,33.57761765,32.56008148,34.35316086,33.31259155,32.19116211,32.36848068,31.81685829,32.77195358,33.61581421,34.41584015,32.49021149
1970,30.22323608,36.34542084,33.05596542,33.28792572,31.01974487,33.70194626,32.99437332,32.80980301,33.7073288,32.87703705,34.59019089,33.59675217,32.94443893
1971,28.33034706,34.99822235,32.40473175,32.70334625,30.00757408,32.93284988,32.85380173,32.08097076,33.9134903,32.64478683,32.45032883,32.96482086,28.66471481
1972,29.51846313,34.8955574,33.11529922,33.70864868,33.73776245,31.51605225,33.09495163,31.45513344,32.27251434,31.10626221,31.65118408,33.3770256,32.14122772
1973,29.7457695,35.5047493,33.30291367,35.35945511,34.62227249,34.50164032,31.59004593,31.28879929,32.06113815,32.90203094,30.05097008,32.79442215,33.06155396
1974,30.13666344,35.50853729,33.25751114,33.85130692,34.64215851,34.48351288,31.828228,33.56368256,32.63907623,33.75182343,32.70708084,32.40555954,32.75157547
1975,29.53400803,36.05791092,31.99074745,34.80146027,33.19745636,32.81551361,33.17213058,35.11621857,33.43470383,32.03889084,32.78574371,32.2670784,34.78075027
1976,28.89702225,35.43372345,32.09582138,31.69166946,33.53918457,32.20082855,30.16539383,34.58519363,34.59925461,31.69057083,33.90332794,33.75270462,32.7507515
1977,29.93764687,36.30329132,33.3974762,32.69202805,32.32453537,33.14493942,35.49337769,32.52915573,31.90804482,32.3534317,31.20140457,34.47867966,33.4388237
1978,30.21587563,36.29065704,33.17533875,33.49672318,31.71479416,35.91300201,33.57917404,33.01749802,32.29679489,31.04287148,34.01351929,34.47835159,32.18566895
1979,29.90551186,36.79476166,32.87055206,34.01269531,32.61006927,31.8994751,34.19924164,33.47639847,31.23716354,36.57273102,32.4067688,33.06539917,34.10261917
