boundary,states,,,,,,,,,,,,
feature,State of Nevada,,,,,,,,,,,,
center,"-117.0227, 38.502",,,,,,,,,,,,
scenario,Medium (RCP 4.5),,,,,,,,,,,,
climate indicator,Precipitation,,,,,,,,,,,,
units,inch,,,,,,,,,,,,
,,,,,CanESM2 (Average),,,,CNRM-CM5 (Cool/Wet),,,HadGEM2-ES (Warm/Dry),MIROC5 (Complement)
year,ModeledRCP4.5RangeMin,ModeledRCP4.5RangeMax,Observed,ACCESS1-0,CanESM2  ,CCSM4,CESM1-BGC,CMCC-CMS,CNRM-CM5  ,GFDL-CM3,HadGEM2-CC,HadGEM2-ES  ,MIROC5  
1950,5.487764853,16.7636685,9.438558178,14.29674566,5.97544139,10.62907339,11.23096404,13.6894122,11.72241271,7.446561772,10.59457388,9.599562415,10.44406759
1951,5.402121326,15.61149975,10.23065858,9.590248747,13.29200272,11.71687058,8.969358598,8.290164153,12.18293467,9.566850458,10.05732461,11.11847816,12.20112729
1952,5.38078033,18.38714958,11.96951518,6.44437805,10.02728674,9.923939464,8.593030021,9.646933572,15.22772679,8.867346691,10.39181487,15.92933499,11.33058898
1953,5.568071168,17.3387552,6.864199928,9.296385203,10.60008779,11.1945573,10.86258082,8.199461215,12.33828637,8.179506993,10.72405431,14.60447921,8.164515676
1954,5.756085733,17.9066195,8.814451868,10.89458026,10.13976683,8.535236906,6.410486167,12.54551603,7.512935963,11.24965467,9.556470771,13.90451133,9.644106212
1955,5.28885741,15.32429855,10.5215023,9.771567643,13.49309403,12.02122441,9.553774224,10.7006278,9.851023142,9.733404995,10.32123932,11.80414241,8.30329229
1956,5.978002367,17.29928441,8.308526069,11.58462278,10.9884068,8.779796124,8.436081352,10.84209775,9.26295137,13.57728624,8.643555515,8.572969634,10.7480195
1957,5.91377599,19.00942272,12.05806288,8.628309497,14.18905325,7.07037401,13.17271787,8.174478644,10.57495392,10.26119941,8.83895388,11.93445508,11.47034791
1958,6.085663761,16.76417548,10.25521056,10.49119391,9.00183232,10.72762485,10.74810416,9.842453563,9.755683099,13.05612395,13.70708316,8.550585083,12.58391808
1959,4.328458131,16.89843362,6.864401883,8.688450474,8.378793854,10.04237166,8.994550606,12.7822135,9.516577073,9.525663785,9.60997258,14.45481421,11.367895
1960,6.795358215,19.45182751,9.187077301,9.914532313,9.742789558,11.98784725,9.267300548,12.34379257,9.035707826,14.36060801,10.7939637,12.34298978,13.66470999
1961,5.983511248,16.47164218,8.868069456,12.06078618,10.70345984,12.45324294,10.27428579,7.949200863,10.04478814,12.49372498,14.12772833,11.41350817,8.060000263
1962,5.695602022,17.19623014,9.864368127,13.6563129,10.08033782,10.24063542,8.727335238,10.47740515,8.471398953,14.98495736,9.685522142,12.09251687,9.136358618
1963,4.505145324,18.06400491,12.78126026,11.11593181,4.790849767,9.050999645,8.455784837,9.459658864,14.77765769,6.577969483,11.34285373,6.534707895,7.782342573
1964,5.323939432,17.47720272,10.54983339,9.636207283,14.11591571,14.965588,9.731954567,13.53913115,10.54598659,10.1027047,9.906796427,9.880130765,10.12812032
1965,5.779609911,17.56139856,13.32796047,9.356448252,15.54350007,10.42971425,15.56264352,11.08123582,11.67711913,12.68256105,14.0346354,7.640486016,14.96672974
1966,4.367476157,16.94359623,7.019817058,11.02205297,13.52054728,4.973196832,6.938848013,9.767342147,11.09208749,9.816379058,11.50215762,6.200273141,9.004397868
1967,5.206973565,19.45764535,11.92585079,8.383769717,9.163953019,8.55999252,9.287976004,17.54692211,8.06534368,11.89543534,14.12176273,11.67909298,8.195344708
1968,5.116610204,19.88251369,10.14314506,10.88458958,7.794782849,9.76042966,8.352845998,12.59273325,11.24444474,10.43503705,13.12314901,13.29881972,8.097003909
1969,5.41459115,19.7779899,13.13686388,13.09397719,16.15546893,10.9296534,14.71762005,9.599167193,10.03148947,15.20078372,9.020285807,18.72547251,7.967235987
1970,6.490002621,17.74265876,11.04514083,8.631889636,8.529099686,10.6317688,8.211738501,13.87260898,13.46010201,10.78918469,13.33950955,11.17180495,11.39771623
1971,5.295918882,16.62716551,11.4861573,9.895251872,7.47118354,9.437470514,13.58710836,11.17385895,9.757761992,8.149271926,11.65409573,9.571022883,9.837113577
1972,6.237497794,17.54503427,9.130593399,10.45864888,12.40802341,8.737548305,10.45527916,10.06769175,11.99185901,7.144538612,9.54863633,7.673428046,8.948430148
1973,5.066153645,16.85063544,11.10514164,14.08578957,14.04345114,13.21077324,8.876065839,5.33718122,10.51491741,6.584579305,7.745120529,9.464752147,10.66238157
1974,6.332866253,18.40264822,8.174783419,10.44878996,12.53652981,17.64906108,9.041037225,9.457802985,12.89729431,12.01998002,8.651125099,7.984407814,11.17533483
1975,6.844278119,18.82016887,11.19098216,12.39123258,10.56785121,9.866348726,15.75564858,13.3264435,12.74430489,12.45134362,14.77386355,7.715386279,14.32287437
1976,5.544800228,18.30799501,10.36239703,16.77344427,10.44844572,7.741850099,9.933840277,11.57047468,11.2331387,6.059405122,6.378637862,13.44634594,11.56118981
1977,4.802629631,17.2681527,10.22800303,6.183374553,14.33721865,7.19144243,10.12521023,11.75209162,9.47916983,7.567678188,11.87753855,11.51938595,7.640498426
1978,5.635310336,18.60335336,14.29378555,12.80530916,6.956579384,13.14725313,16.73611698,7.835091168,10.82046369,7.541156522,10.16776551,13.49604013,9.119392834
1979,5.391551948,18.42150259,10.3250205,17.63138789,9.181605916,10.78249526,10.00352018,10.95416509,8.817470747,14.75445136,8.376659079,12.57159959,14.07818213
1980,5.078617574,19.8359739,13.19173097,10.3952582,7.679131424,9.739052954,10.74634933,8.986333877,9.105451834,15.93309081,11.1023807,8.775206923,12.3397695
